map_id,description_pattern,vendor_id,service_id,city,state,country,created_at
328,ORBITZ*7319682764580ORBITZ.COM WA,ORBITZ,ORBITZ,,WA,US,2026-03-19 23:16:24.873279
329,A1010BUSD01 MSBILL.INFO,MICROSOFT,MSFT-BILL,,,US,2026-03-19 23:16:24.873279
330,HERTZ CAR RENTAL,HERTZ,HERTZ-RENT,,,US,2026-03-19 23:16:24.873279
331,GEORGIA BAPTIST MISSSUWANEE GA,GABAPTIST,GABAPTIST,Suwanee,GA,US,2026-03-19 23:16:24.873279
332,WALGREENS LOGANVILLE GA,WALGREENS,WALGREENS,Loganville,GA,US,2026-03-19 23:16:24.873279
333,INSURANCEXDATE.COM WILMINGTON DE,INSXDATE,INSXDATE,Wilmington,DE,US,2026-03-19 23:16:24.873279
334,HAMPTON INN MT PROSPMT PROSPECT IL,HAMPTON,HAMPTON,Mt Prospect,IL,US,2026-03-19 23:16:24.873279
335,MONITOREDU INC SPRING HILL TN,MONITREDU,MONITREDU,Spring Hill,TN,US,2026-03-19 23:16:24.873279
336,SIRCON - STATEINSURA517-381-3860 MI,SIRCON,SIRCON-INS,,MI,US,2026-03-19 23:16:24.873279
337,93578-ATLANTA AIRPORATLANTA GA,ATLAIRPRT,ATLAIRPRT,Atlanta,GA,US,2026-03-19 23:16:24.873279
338,AMAZON PRIME AMAZON.COM WA,AMAZON,AMZN-PRIM,,WA,US,2026-03-19 23:16:24.873279
339,ATHENA'S GYROS LOGANVILLE GA,ATHGYROS,ATHGYROS,Loganville,GA,US,2026-03-19 23:16:24.873279
340,EL RANCHERO MEXICAN LOGANVILLE GA,ELRANCHER,ELRANCHER,Loganville,GA,US,2026-03-19 23:16:24.873279
341,CHILI'S 1385 ECOMM 0LOGANVILLE GA,CHILIS,CHILIS-EC,Loganville,GA,US,2026-03-19 23:16:24.873279
342,APEX SOFTWARE APEX S210-6996666 TX,APEXSW,APEXSW,,TX,US,2026-03-19 23:16:24.873279
343,SUKI 0001 LOGANVILLE GA,SUKI,SUKI,Loganville,GA,US,2026-03-19 23:16:24.873279
344,DD *DOORDASH CHIPOTLSAN FRANCISCO CA,DOORDASH,DD-CHIPOT,San Francisco,CA,US,2026-03-19 23:16:24.873279
345,BETTERMENT BUSINESS NEW YORK NY,BETTERMT,BETTERMT-B,New York,NY,US,2026-03-19 23:16:24.873279
346,DD *DOORDASH LOSARIBSAN FRANCISCO CA,DOORDASH,DD-LOSARI,San Francisco,CA,US,2026-03-19 23:16:24.873279
347,DD *DOORDASH BANDABUSAN FRANCISCO CA,DOORDASH,DD-BANDAB,San Francisco,CA,US,2026-03-19 23:16:24.873279
348,TAILWIND FWA 5455000877-8144102 NC,TAILWIND,TAILWIND,,NC,US,2026-03-19 23:16:24.873279
349,EXXONMOBIL 9747 HOFFMAN ESTAT IL,EXXON,EXXON-GAS,Hoffman Estates,IL,US,2026-03-19 23:16:24.873279
350,"CHECKR, INC CHECKR.CSAN FRANCISCO CA",CHECKR,CHECKR,San Francisco,CA,US,2026-03-19 23:16:24.873279
351,DD *DOORDASH MCDONALSAN FRANCISCO CA,DOORDASH,DD-MCDNLD,San Francisco,CA,US,2026-03-19 23:16:24.873279
352,VSP*WORKWISE COMPLIATAMPA FL,VSP,VSP-WRKWS,Tampa,FL,US,2026-03-19 23:16:24.873279
353,WALMART.COM WALMART.COM AR,WALMART,WLMRT-COM,,AR,US,2026-03-19 23:16:24.873279
354,HUEY MAGOOS LOGANVILLOGANVILLE GA,HUEYMAGOO,HUEYMAGOO,Loganville,GA,US,2026-03-19 23:16:24.873279
355,BT*DUTCH BROS GRANTS PASS OR,DUTCHBROS,DUTCHBROS,Grants Pass,OR,US,2026-03-19 23:16:24.873279
356,TST* LADY DAHLIA 001MOUNT PROSPECT IL,LADYDAHLI,LADYDAHLI,Mount Prospect,IL,US,2026-03-19 23:16:24.873279
357,ATLANTA BRAVES ALL SATLANTA GA,ATLBRAVES,ATLBRAVES,Atlanta,GA,US,2026-03-19 23:16:24.873279
358,DD *DOORDASH MIGUELSSAN FRANCISCO CA,DOORDASH,DD-MIGUEL,San Francisco,CA,US,2026-03-19 23:16:24.873279
359,CHILI'S LOGANVILLE GA,CHILIS,CHILIS,Loganville,GA,US,2026-03-19 23:16:24.873279
360,DD *DOORDASH CHILISGSAN FRANCISCO CA,DOORDASH,DD-CHILIS,San Francisco,CA,US,2026-03-19 23:16:24.873279
361,THAI TASTE 0000 LOGANVILLE GA,THAITASTE,THAITASTE,Loganville,GA,US,2026-03-19 23:16:24.873279
362,GRAYSON SWEET HOME CGRAYSON GA,GRYSNSWT,GRYSNSWT,Grayson,GA,US,2026-03-19 23:16:24.873279
363,ASCEND PAYMENTS SAN FRANCISCO CA,ASCENDPAY,ASCENDPAY,San Francisco,CA,US,2026-03-19 23:16:24.873279
364,WAVE - *MEDTECH CONSLAWRENCEVILLE GA,WAVE,WAVE-MDTC,Lawrenceville,GA,US,2026-03-19 23:16:24.873279
365,WALMART.COM 80092562BENTONVILLE AR,WALMART,WLMRT-COM,Bentonville,AR,US,2026-03-19 23:16:24.873279
366,IDEMIA I&S USA 844-321-2124 MA,IDEMIA,IDEMIA,,MA,US,2026-03-19 23:16:24.873279
367,TST* PARK BAR 001909ATLANTA GA,PARKBAR,PARKBAR,Atlanta,GA,US,2026-03-19 23:16:24.873279
368,TST* RREAL TACOS- LALAWRENCEVILLE GA,RREALTACOS,,Lawrenceville,GA,US,2026-03-19 23:16:24.873279
369,93577-ATLANTA AIRPORATLANTA GA,ATLAIRPORT,,Atlanta,GA,US,2026-03-19 23:16:24.873279
370,TST* SRI THAI SNELLVSNELLVILLE GA,SRITHAI,,Snellville,GA,US,2026-03-19 23:16:24.873279
371,WL *VUE*TESTING EXAMBLOOMINGTON MN,VUE,VUE-EXAM,Bloomington,MN,US,2026-03-19 23:16:24.873279
372,COMCAST / XFINITY 800-266-2278 GA,COMCAST,COMCAST-XFN,,GA,US,2026-03-19 23:16:24.873279
373,VISTAPRINT WALTHAM MA,VISTAPRINT,,Waltham,MA,US,2026-03-19 23:16:24.873279
374,INDEED JOBS AUSTIN TX,INDEED,INDEED-JOBS,Austin,TX,US,2026-03-19 23:16:24.873279
375,KUDOBOARD DENVER CO,KUDOBOARD,,Denver,CO,US,2026-03-19 23:16:24.873279
376,ATLANTA OFFICE TECHNNORCROSS GA,ATLOFFTECH,,Norcross,GA,US,2026-03-19 23:16:24.873279
377,DOMINO'S 5732 000005GRAYSON GA,DOMINOS,,Grayson,GA,US,2026-03-19 23:16:24.873279
378,DOCUSIGN SEATTLE WA,DOCUSIGN,,Seattle,WA,US,2026-03-19 23:16:24.873279
379,PROFESSIONAL INSURAN402-3921611 NE,PROFINSUR,,,NE,US,2026-03-19 23:16:24.873279
380,CHICK-FIL-A #00916 0LOGANVILLE GA,CHICKFILA,,Loganville,GA,US,2026-03-19 23:16:24.873279
381,DD *DOORDASH THESMOKSAN FRANCISCO CA,DOORDASH,,San Francisco,CA,US,2026-03-19 23:16:24.873279
382,AMAZON.COM AMZN.COM/BILL WA,AMAZON,AMAZON-COM,,WA,US,2026-03-19 23:16:24.873279
383,AMERICAS PROFESSOR 8MISSOULA MT,AMPROF,,Missoula,MT,US,2026-03-19 23:16:24.873279
384,COMCAST BUSINESS MOB844-963-0206 PA,COMCAST,COMCAST-BIZ,,PA,US,2026-03-19 23:16:24.873279
385,MAILCHIMP LLC ATLANTA GA,MAILCHIMP,,Atlanta,GA,US,2026-03-19 23:16:24.873279
386,ADOBE ADOBE SYSTEMS SAN JOSE CA,ADOBE,,San Jose,CA,US,2026-03-19 23:16:24.873279
387,GOOGLE *GOOGLE ONE G.CO/HELPPAY# CA,GOOGL,GOOGL-ONE,,CA,US,2026-03-19 23:16:24.873279
388,USECANOPY.COM BEAVERTON OR,CANOPY,,Beaverton,OR,US,2026-03-19 23:16:24.873279
389,RAISINGCANES 1069MOB972-769-3100 GA,RAISCANES,,,GA,US,2026-03-19 23:16:24.873279
390,WAL-MART SUPERCENTERLOGANVILLE GA,WALMART,WALMART-SC,Loganville,GA,US,2026-03-19 23:16:24.873279
391,MR. TACO RESTAURANT FORT GILLEM GA,MRTACO,,Fort Gillem,GA,US,2026-03-19 23:16:24.873279
392,DOLLAR TREE 00000407LOGANVILLE GA,DOLLARTREE,,Loganville,GA,US,2026-03-19 23:16:24.873279
393,HILTON GARDEN/HOME2SFORT WAYNE IN,HILTON,HILTON-GI,Fort Wayne,IN,US,2026-03-19 23:16:24.873279
394,DD *DOORDASH CHICK-FSAN FRANCISCO CA,DOORDASH,,San Francisco,CA,US,2026-03-19 23:16:24.873279
395,AT&T UVERSE PAYMENT 8002882020 TX,ATT,ATT-UVERSE,,TX,US,2026-03-19 23:16:24.873279
